Account Name,Account ID,Campaign Name,Campaign ID,Campaign Status,Campaign Bid,Campaign Bidding Strategy,Campaign Start Date,Conversion Goal,Ad ID,Ad Title,Ad Description,Day,Ad Status,Country,Site,Site URL,Site ID,Currency,Inventory Type,Country Code,Campaign Budget Type,Spending Limit,Campaign Budget,Spending Limit Type,Actual CPA,Actual CPC,Clicks,Conversion Rate,Conversions,Conversions Value,CPM,CTR,Impressions,ROAS,Served Ads,Spent
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,1 News - AVG - Browser - Top News,avg.1news.io/news,1845095,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,82,0.00%,87,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,1 News - Avast - Browser - Top News,avast.1news.io,1845092,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,60,0.00%,138,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,1 News - Avira - Browser - Top News,avira.1news.io/news,1845093,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,4,0.00%,4,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,1 News - CCleaner - Browser - Top News,ccleaner.1news.io/news,1845087,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,4,0.00%,15,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,1 News - Norton - Browser - Top News,norton.1news.io/news,1845090,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,164,0.00%,186,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,20 Minutes France - Bébés et mamans,bebesetmamans.20minutes.fr,1656275,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,4,0.00%,11,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,20 Minutes France - Maison,maison.20minutes.fr,1656272,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,11,0.00%,48,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,20 Minutes France - Sportune,sportune.20minutes.fr,1656274,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,10,0.00%,22,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,20 Minutes France - Web,20minutes.fr,1645644,HKD,Web,FR,Daily,,100.00,None,,2.112,3,0.00%,0,0.00,1.70,0.08%,"3,720",0.00%,"12,782",6.34
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,20 Minutes France - journaldesseniors,journaldesseniors.20minutes.fr,1662698,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,6,0.00%,30,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,24Media - news247,news247.gr,1354877,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,0,0.00%,1,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,24Media - sport24,sport24.gr,1309775,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,2,0.00%,4,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,3DP,3dpchip.com,1177550,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,2,0.00%,5,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,7x7 Press,https://www.7x7.press/,1290828,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,0,0.00%,1,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,9TV - 9TV,9tv.co.il,1152005,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,4,0.00%,12,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,A360 - usmagazine,usmagazine.com,1608523,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,0,0.00%,5,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,ABC Bourse - Pub,https://www.abcbourse.com/,1783917,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,34,0.00%,253,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,ABC News - ABC News,abcnews.go.com,1184469,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,1,0.00%,35,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,ABC OTV Web - ABC6 Philadelphia,6abc.com,1231844,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,0,0.00%,1,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,ABC OTV Web - ABC7 Chicago,abc7chicago.com,1231843,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,0,0.00%,2,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,ABC OTV Web - ABC7 LA,abc7.com,1231839,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,0,0.00%,1,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,ABC OTV Web - ABC7 NY,abc7ny.com,1231837,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,0,0.00%,4,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,ABC OTV Web - ABC7 SF,abc7news.com,1231849,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,1,0.00%,2,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AERA dot,dot.asahi.com,1606588,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,0,0.00%,2,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AOL - Desktop Gold App,aol.com/#desktopgold,1647527,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,2,0.00%,2,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AOL - Mail,mail.aol.com,1559512,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,842,0.00%,842,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AOL - UK,aol.co.uk,1565072,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,1,0.00%,3,0.00
Dartmatics 02 HK - VMC_TB1_DRT$ - SC,2005570,FR - Ovuna.com - PC,48523732,Running,2.750,Enhanced CPC,"Mar 05, 2026",lead,4248553509,Organisation de voyages privés en France,Un format destiné à celles et ceux qui souhaitent accéder à des lieux non conçus pour le flux de visiteurs,"Mar 09, 2026",Running,France,AOL - Web,www.aol.com,1559511,HKD,Web,FR,Daily,,100.00,None,,0.000,0,0.00%,0,0.00,0.00,0.00%,4,0.00%,18,0.00
